Gauge,Period,Height
G1, 1.2200, 1.98242E-01
G1, 1.2800, 1.86133E-01
G1, 1.2600, 1.85645E-01
G1, 1.2600, 1.86035E-01
G1, 1.2600, 1.85742E-01
G1, 1.2600, 1.85156E-01
G1, 1.2500, 1.86523E-01
G1, 1.2600, 1.84375E-01
G1, 1.2500, 1.85352E-01
G1, 1.2600, 1.85352E-01
G1, 1.2600, 1.84570E-01
G1, 1.2500, 1.85449E-01
G1, 1.2600, 1.84180E-01
G1, 1.2500, 1.83594E-01
G1, 1.2600, 1.87109E-01
G1, 1.2600, 1.84375E-01
G1, 1.2500, 1.85449E-01
G1, 1.2500, 1.84180E-01
G1, 1.2600, 1.86328E-01
G1, 1.2500, 1.85254E-01
G1, 1.2500, 1.89844E-01
G1, 1.2500, 1.90332E-01
G1, 1.2600, 1.86133E-01
G1, 1.2500, 1.87695E-01
G1, 1.2500, 1.88086E-01
G1, 1.2600, 1.88574E-01
G1, 1.2600, 1.89746E-01
G1, 1.2600, 1.89258E-01
G1, 1.2500, 1.92383E-01
G1, 1.2500, 1.91113E-01
G1, 1.2500, 1.89941E-01
G1, 1.2600, 1.91309E-01
G1, 1.2500, 1.89453E-01
G1, 1.2500, 1.91406E-01
G1, 1.2600, 1.90137E-01
G1, 1.2600, 1.90625E-01
G1, 1.2500, 1.91406E-01
G1, 1.2500, 1.90137E-01
G1, 1.2500, 1.76660E-01
G1, 1.2500, 1.79199E-01
G1, 1.2400, 1.76758E-01
G1, 1.2500, 1.77734E-01
G1, 1.2800, 1.80078E-01
G1, 1.2600, 1.75195E-01
G1, 1.2700, 1.80078E-01
G1, 1.2300, 1.76855E-01
G1, 1.2600, 1.68164E-01
G1, 1.2500, 1.73535E-01
G1, 1.2600, 1.75098E-01
G1, 1.2500, 1.72168E-01
G1, 1.2700, 1.76367E-01
G1, 1.2000, 1.34961E-01
G2, 1.2100, 1.61035E-01
G2, 1.2300, 1.94727E-01
G2, 1.2600, 1.84668E-01
G2, 1.2600, 1.84961E-01
G2, 1.2500, 1.80664E-01
G2, 1.2600, 1.78418E-01
G2, 1.2500, 1.77539E-01
G2, 1.2600, 1.79004E-01
G2, 1.2500, 1.79199E-01
G2, 1.2600, 1.80176E-01
G2, 1.2600, 1.79687E-01
G2, 1.2500, 1.81055E-01
G2, 1.2600, 1.81836E-01
G2, 1.2600, 1.78809E-01
G2, 1.2500, 1.80273E-01
G2, 1.2400, 1.80762E-01
G2, 1.2600, 1.83301E-01
G2, 1.2500, 1.81152E-01
G2, 1.2500, 1.82129E-01
G2, 1.2800, 1.87109E-01
G2, 1.2500, 1.85352E-01
G2, 1.2600, 1.83301E-01
G2, 1.2600, 1.82227E-01
G2, 1.2500, 1.80957E-01
G2, 1.2600, 1.85156E-01
G2, 1.2500, 1.82422E-01
G2, 1.2500, 1.82715E-01
G2, 1.2500, 1.82227E-01
G2, 1.2600, 1.77051E-01
G2, 1.2600, 1.77539E-01
G2, 1.2500, 1.79785E-01
G2, 1.2500, 1.77051E-01
G2, 1.2500, 1.80371E-01
G2, 1.2500, 1.77148E-01
G2, 1.2600, 1.77441E-01
G2, 1.2500, 1.74512E-01
G2, 1.2600, 1.73047E-01
G2, 1.2600, 1.69434E-01
G2, 1.2600, 1.63770E-01
G2, 1.2500, 1.56152E-01
G2, 1.2600, 1.58008E-01
G2, 1.2500, 1.60059E-01
G2, 1.2500, 1.69824E-01
G2, 1.2600, 1.70605E-01
G2, 1.2600, 1.61230E-01
G2, 1.2600, 1.59570E-01
G2, 1.2500, 1.54981E-01
G2, 1.2500, 1.63770E-01
G2, 1.2500, 1.60840E-01
G2, 1.2500, 1.59375E-01
G2, 1.2600, 1.64746E-01
G2, 1.3000, 1.46777E-01
G3, 1.1700, 1.97852E-01
G3, 1.2600, 1.85547E-01
G3, 1.2600, 1.82519E-01
G3, 1.2500, 1.82031E-01
G3, 1.2400, 1.85254E-01
G3, 1.2600, 1.80664E-01
G3, 1.2600, 1.84082E-01
G3, 1.2500, 1.85352E-01
G3, 1.2500, 1.87305E-01
G3, 1.2600, 1.85352E-01
G3, 1.2500, 1.87500E-01
G3, 1.2600, 1.87109E-01
G3, 1.2500, 1.82617E-01
G3, 1.2500, 1.86426E-01
G3, 1.2500, 1.83789E-01
G3, 1.2600, 1.85742E-01
G3, 1.2500, 1.85156E-01
G3, 1.2600, 1.80957E-01
G3, 1.2600, 1.82910E-01
G3, 1.2600, 1.82324E-01
G3, 1.2600, 1.85352E-01
G3, 1.2500, 1.83789E-01
G3, 1.2600, 1.86035E-01
